mean,std,max,non_zero_fraction,percentile_75,user_id
3.976298245614035,19.272551150262014,121.71,0.8663366336633663,0.0,1
3.541526315789474,18.78800033782179,121.71,0.8650990099009901,0.0,1
3.1067543859649125,17.049510724851867,121.71,0.8650990099009901,0.0,1
2.6719824561403507,16.476672815812524,121.71,0.8638613861386139,0.0,1
3.2387982456140354,16.522710191550875,120.56,0.8663366336633663,0.0,1
3.8056315789473687,18.13894679220161,119.41,0.8663366336633663,0.0,1
3.281912280701755,15.431444224682725,81.205,0.8663366336633663,0.0,1
2.758175438596491,14.483574232661624,81.205,0.8650990099009901,0.0,1
4.947175438596492,16.050473891080003,78.922,0.875,0.0,1
7.1361491228070175,22.12923609974137,95.98,0.875,0.0,1
6.79819298245614,21.33183014144982,95.98,0.875,0.0,1
6.460236842105264,21.128931266106058,95.98,0.8737623762376238,0.0,1
6.438710526315789,20.60845741833316,95.98,0.875,0.0,1
6.417201754385964,20.399655073944903,95.98,0.875,0.0,1
6.42498245614035,20.42627877994789,95.98,0.875,0.0,1
6.432780701754385,20.629298143835012,95.98,0.875,0.0,1
6.379692982456139,20.46856311047654,95.98,0.875,0.0,1
6.326622807017544,20.32344930500053,95.98,0.875,0.0,1
6.563070175438596,20.443293630313303,95.98,0.8762376237623762,0.0,1
6.799526315789473,20.88171016383854,95.98,0.8762376237623762,0.0,1
6.53930701754386,20.40059807475165,95.98,0.8762376237623762,0.0,1
6.279087719298245,20.291914528044817,95.98,0.875,0.0,1
6.340035087719297,20.07649638894683,95.98,0.8762376237623762,0.0,1
6.400991228070176,20.06819057436733,95.98,0.8762376237623762,0.0,1
7.995964912280701,23.558133244827765,95.98,0.8762376237623762,0.0,1
9.590964912280702,29.19915753813474,164.56,0.8762376237623762,0.0,1
8.80338596491228,26.465409290127376,131.71,0.8762376237623762,0.0,1
8.015859649122806,24.13742103954572,98.867,0.8762376237623762,0.0,1
7.748885964912279,23.32857210722727,95.98,0.8762376237623762,0.0,1
7.481912280701755,22.61356734452427,95.98,0.8762376237623762,0.0,1
7.143552631578947,21.83724868123803,95.98,0.8762376237623762,0.0,1
6.805201754385965,21.64394614952497,95.98,0.875,0.0,1
7.133798245614035,21.797260747841168,95.98,0.8762376237623762,0.0,1
7.462394736842105,22.51173700347444,95.98,0.8762376237623762,0.0,1
7.311210526315789,21.988883828161537,95.98,0.8762376237623762,0.0,1
7.160008771929824,21.72708398285772,95.98,0.8762376237623762,0.0,1
7.876991228070176,29.080464068096493,222.45,0.8762376237623762,0.0,1
8.594008771929824,48.61702273267361,411.88,0.8663366336633663,0.0,1
8.17480701754386,48.06323152914685,411.88,0.8663366336633663,0.0,1
7.75559649122807,47.92285627128846,411.88,0.8650990099009901,0.0,1
7.336394736842106,47.35346165208753,411.88,0.8650990099009901,0.0,1
6.917184210526315,47.20346486618166,411.88,0.8638613861386139,0.0,1
6.497982456140351,46.6176803821477,411.88,0.8638613861386139,0.0,1
6.078771929824562,46.45767671668619,411.88,0.8626237623762376,0.0,1
4.2722807017543865,32.42247690895407,280.1,0.8626237623762376,0.0,1
2.4657894736842105,26.23310692481426,280.1,0.8613861386138614,0.0,1
6.888289473684211,19.10380703509244,152.62,0.8849009900990099,0.0,1
11.310798245614036,26.51918000046359,136.29,0.8849009900990099,0.0,1
11.020587719298248,26.09110193652519,136.29,0.8849009900990099,0.0,1
10.730368421052631,26.027430388761505,136.29,0.8836633663366337,0.0,1
10.44015789473684,25.584486509546167,136.29,0.8836633663366337,0.0,1
10.149938596491229,25.51289080080686,136.29,0.8824257425742574,0.0,1
11.778631578947367,26.391902858646485,136.29,0.8873762376237624,0.0,1
13.407342105263156,29.730340793771383,136.29,0.8873762376237624,0.0,1
13.783105263157896,29.2401406759592,129.65,0.8898514851485149,0.0,1
14.158903508771928,29.77607740231213,123.01,0.8898514851485149,0.0,1
13.868719298245615,29.42391734190942,123.01,0.8898514851485149,0.0,1
13.578543859649123,29.395883477426104,123.01,0.8886138613861386,0.0,1
13.288359649122809,29.03326176217415,123.01,0.8886138613861386,0.0,1
12.998184210526317,28.9989922127502,123.01,0.8873762376237624,0.0,1
15.877403508771929,30.94158837435103,123.01,0.8935643564356436,0.0,1
18.756666666666668,36.169134482529984,142.4,0.8935643564356436,0.0,1
18.313271929824563,35.4536331396587,142.4,0.8935643564356436,0.0,1
17.869912280701755,35.3629353793927,142.4,0.8923267326732673,0.0,1
17.42651754385965,34.619325366052045,142.4,0.8923267326732673,0.0,1
16.98315789473684,34.514946385479846,142.4,0.8910891089108911,0.0,1
17.241087719298246,33.09212440851061,120.02,0.8935643564356436,0.0,1
17.49897368421053,33.249934631238034,117.72,0.8935643564356436,0.0,1
18.76744736842105,35.41643904415013,117.72,0.8935643564356436,0.0,1
20.036,38.658688715749776,143.86,0.8935643564356436,0.0,1
19.574578947368423,37.940446040710285,143.86,0.8935643564356436,0.0,1
19.113192982456145,37.85502166752985,143.86,0.8923267326732673,0.0,1
18.65177192982456,37.10965853381295,143.86,0.8923267326732673,0.0,1
18.19038596491228,37.01071331397174,143.86,0.8910891089108911,0.0,1
18.059105263157893,35.38717217667143,143.15,0.8935643564356436,0.0,1
17.927805263157893,35.29608956095334,143.15,0.8935643564356436,0.0,1
17.230701754385965,33.46302063153248,121.28,0.8935643564356436,0.0,1
16.53351754385965,38.48536425667186,167.34,0.8849009900990099,0.0,1
16.17028947368421,38.04715988975426,167.34,0.8849009900990099,0.0,1
15.80706140350877,38.00171818805018,167.34,0.8836633663366337,0.0,1
